time,episode,total_frames,epsilon,highest_reward,mean_rewards,mean_loss,estimating_reward,reward_exponent
0:00:00.334800,0,158.0,1.000,1.0,1.0,nan,True,1.0
0:00:03.505316,10,1678.0,1.000,2.0,0.6,nan,True,1.0
0:00:07.160637,20,3432.0,1.000,5.0,1.1,nan,True,1.0
0:00:10.730141,30,5153.0,1.000,5.0,1.1,nan,True,1.0
0:00:14.247200,40,6829.0,1.000,5.0,0.9,nan,True,1.0
0:00:17.953845,50,8545.0,1.000,5.0,1.1,nan,True,1.0
0:00:21.982202,60,10485.0,1.000,5.0,1.6,nan,True,1.0
0:00:25.366234,70,12117.0,1.000,5.0,0.8,nan,True,1.0
0:00:28.605917,80,13678.0,1.000,5.0,0.7,nan,True,1.0
0:00:32.680140,90,15654.0,1.000,5.0,1.6,nan,True,1.0
0:00:36.188220,100,17345.0,1.000,5.0,1.0,nan,True,1.0
0:00:39.811960,110,19096.0,1.000,5.0,1.1,nan,True,1.0
0:00:44.099532,120,21153.0,1.000,5.0,1.9,nan,True,1.0
0:00:48.321948,130,23194.0,1.000,5.0,2.0,nan,True,1.0
0:00:51.616073,140,24779.0,1.000,5.0,0.7,nan,True,1.0
0:00:55.620217,150,26719.0,1.000,6.0,1.6,nan,True,1.0
0:00:59.478465,160,28580.0,1.000,6.0,1.3,nan,True,1.0
0:01:03.118456,170,30336.0,1.000,6.0,1.1,nan,True,1.0
0:01:06.554005,180,31983.0,1.000,6.0,0.7,nan,True,1.0
0:01:09.638075,190,33470.0,1.000,6.0,0.3,nan,True,1.0
0:01:13.061958,200,35117.0,1.000,6.0,0.9,nan,True,1.0
0:01:16.831638,210,36936.0,1.000,6.0,1.3,nan,True,1.0
0:01:20.317116,220,38597.0,1.000,6.0,0.9,nan,True,1.0
0:01:23.906214,230,40334.0,1.000,6.0,1.0,nan,True,1.0
0:01:27.008734,240,41831.0,1.000,6.0,0.6,nan,True,1.0
0:01:30.578079,250,43558.0,1.000,6.0,1.0,nan,True,1.0
0:01:34.718569,260,45561.0,1.000,6.0,1.7,nan,True,1.0
0:01:37.985359,270,47138.0,1.000,6.0,0.8,nan,True,1.0
0:01:41.626226,280,48888.0,1.000,6.0,1.0,nan,True,1.0
0:01:59.834576,290,50776.0,0.992,6.0,1.4,0.08688,True,1.0
0:02:28.624906,300,52304.0,0.977,6.0,0.6,0.06247,True,1.0
0:02:59.670713,310,53946.0,0.961,6.0,0.9,0.05982,True,1.0
0:03:29.182310,320,55502.0,0.945,6.0,0.6,0.04310,True,1.0
